iter	Passed	Remaining
1237	6116	1294
1238	6121	1289
1239	6126	1284
1240	6131	1279
1241	6136	1274
1242	6141	1269
1243	6146	1264
1244	6152	1260
1245	6157	1255
1246	6161	1250
1247	6166	1245
1248	6170	1240
1249	6175	1235
1250	6179	1230
1251	6184	1225
1252	6190	1220
1253	6195	1215
1254	6199	1210
1255	6204	1205
1256	6209	1200
1257	6214	1195
1258	6220	1190
1259	6225	1185
1260	6230	1180
1261	6235	1175
1262	6239	1170
1263	6244	1165
1264	6248	1160
1265	6254	1155
1266	6259	1151
1267	6263	1146
1268	6268	1141
1269	6273	1136
1270	6278	1131
1271	6283	1126
1272	6288	1121
1273	6292	1116
1274	6297	1111
1275	6303	1106
1276	6308	1101
1277	6313	1096
1278	6318	1091
1279	6323	1086
1280	6328	1081
1281	6333	1076
1282	6339	1072
1283	6344	1067
1284	6348	1062
1285	6353	1057
1286	6358	1052
1287	6362	1047
1288	6366	1042
1289	6371	1037
1290	6376	1032
1291	6381	1027
1292	6386	1022
1293	6392	1017
1294	6396	1012
1295	6400	1007
1296	6406	1002
1297	6411	997
1298	6416	992
1299	6421	987
1300	6426	983
1301	6431	977
1302	6435	973
1303	6440	968
1304	6445	963
1305	6450	958
1306	6456	953
1307	6461	948
1308	6466	943
1309	6471	938
1310	6475	933
1311	6480	928
1312	6485	923
1313	6490	918
1314	6494	913
1315	6508	909
1316	6512	904
1317	6517	899
1318	6522	895
1319	6526	890
1320	6531	885
1321	6537	880
1322	6543	875
1323	6548	870
1324	6553	865
1325	6558	860
1326	6563	855
1327	6568	850
1328	6573	845
1329	6578	840
1330	6583	835
1331	6588	830
1332	6593	825
1333	6597	821
1334	6602	816
1335	6607	811
1336	6612	806
1337	6618	801
1338	6622	796
1339	6627	791
1340	6633	786
1341	6637	781
1342	6642	776
1343	6647	771
1344	6652	766
1345	6657	761
1346	6662	756
1347	6667	751
1348	6672	746
1349	6676	741
1350	6681	736
1351	6686	731
1352	6690	726
1353	6696	722
1354	6701	717
1355	6706	712
1356	6711	707
1357	6716	702
1358	6720	697
1359	6725	692
1360	6730	687
1361	6735	682
1362	6740	677
1363	6746	672
1364	6752	667
1365	6757	662
1366	6762	657
1367	6766	652
1368	6771	647
1369	6777	643
1370	6782	638
1371	6786	633
1372	6793	628
1373	6798	623
1374	6802	618
1375	6808	613
1376	6813	608
1377	6817	603
1378	6822	598
1379	6827	593
